"date","RT_ID","Focal","Neighbour","stand","Treatment","Repetition","BE_BoitEng_Hauteur_mm","SPUR_Squelette_Corrige_mm","SURF_Surface_Projetee_mm2","pair"
"1",544,"ASTERIX","MIKI-1_DP161","mixed","S","3",112.22936,3205.1963325,3284.0942294894,"ASTERIX;MIKI-1_DP161"
"1",547,"MONASTIR","CHAM-1_DP136","mixed","S","1",164.54136,3481.0693355,3466.27908202997,"MONASTIR;CHAM-1_DP136"
"1",548,"EL4X_120","Selcuklu-97","mixed","S","1",157.78104,3148.0041915,3184.55606915366,"EL4X_120;Selcuklu-97"
"1",549,"BALSAMO","AVENTUR","mixed","S","1",115.93144,2619.468449,2550.78160734966,"BALSAMO;AVENTUR"
"1",55,"BALSAMO","BALSAMO","pure","C","1",89.49376,3107.952595,3020.17257669957,"BALSAMO;BALSAMO"
"1",550,"FURIO_CAMILLO","ACADUR","mixed","S","1",171.94552,3268.24447,3218.95838969849,"FURIO_CAMILLO;ACADUR"
"1",551,"ASTERIX","MIKI-1_DP161","mixed","S","1",156.49336,2927.14336,3010.39397881567,"ASTERIX;MIKI-1_DP161"
"1",552,"CASANOVA","CASANOVA","pure","S","1",133.43584,3054.436481,3018.65609010696,"CASANOVA;CASANOVA"
"1",553,"COLOSSEO_DP087","COLOSSEO_DP087","pure","S","1",274.75872,3036.6975135,3164.84174344976,"COLOSSEO_DP087;COLOSSEO_DP087"
"1",554,"MONASTIR","BALSAMO","mixed","S","1",109.01016,2980.317518,3069.13682271799,"MONASTIR;BALSAMO"
"1",555,"BALSAMO","BALSAMO","pure","S","2",60.1588,3662.5624825,3551.13107461706,"BALSAMO;BALSAMO"
"1",556,"COLOSSEO_DP087","KOFA","mixed","S","2",103.69848,3036.654769,3119.49148596168,"COLOSSEO_DP087;KOFA"
"1",557,"EL4X_120","Selcuklu-97","mixed","S","2",130.21664,4273.167665,4346.50819442461,"EL4X_120;Selcuklu-97"
"1",558,"ASTERIX","NEMESIS","mixed","S","2",91.58624,3144.969332,3083.10677029278,"ASTERIX;NEMESIS"
"1",559,"PLUSSUR","PLUSSUR","pure","S","2",74.32328,2559.7543825,2573.32609899567,"PLUSSUR;PLUSSUR"
"1",56,"AVENTUR","ORJAUNE","mixed","C","1",135.32712,2111.920256,2337.25115964912,"AVENTUR;ORJAUNE"
"1",560,"ACADUR","ANVERGUR","mixed","S","2",118.54704,2297.260408,2495.83363411342,"ACADUR;ANVERGUR"
"1",561,"MONASTIR","EL4X_35","mixed","S","2",88.89016,5655.268328,5070.47341245859,"MONASTIR;EL4X_35"
"1",562,"LAHAN","EL4X_464","mixed","S","2",72.87464,2751.89091,2745.25913675175,"LAHAN;EL4X_464"
"1",564,"SVEVO","ARDENTE","mixed","S","3",77.74368,2325.4290335,2402.07639375239,"SVEVO;ARDENTE"
"1",565,"NOBILIS","EL4X_428","mixed","S","3",113.91944,2608.5686015,2609.24673322538,"NOBILIS;EL4X_428"
"1",566,"MURANO","SVEVO","mixed","S","3",140.79976,5280.7837635,4931.20695758109,"MURANO;SVEVO"
"1",567,"PLUSSUR","MIKI-1_DP161","mixed","S","3",78.30704,3546.2119535,3450.24817436306,"PLUSSUR;MIKI-1_DP161"
"1",568,"RAMIREZ","ANTALIS","mixed","S","3",118.34584,3376.8155,3304.37860798474,"RAMIREZ;ANTALIS"
"1",569,"MURANO","QUALIDOU","mixed","S","3",127.88272,2648.363731,2791.72574762307,"MURANO;QUALIDOU"
"1",57,"AZEGHAR-2_DP128","KOFA","mixed","C","1",125.50856,2179.7557775,2253.54109973719,"AZEGHAR-2_DP128;KOFA"
"1",570,"NOBILIS","LLOYD","mixed","S","3",86.9184,2757.4904395,2806.10130968408,"NOBILIS;LLOYD"
"1",573,"EL4X_316","ORJAUNE","mixed","S","1",176.4524,3368.437578,3403.80896987594,"EL4X_316;ORJAUNE"
"1",574,"EL4X_120","EL4X_120","pure","S","1",86.15384,3840.422347,3749.20066744212,"EL4X_120;EL4X_120"
"1",575,"Selcuklu-97","ANVERGUR","mixed","S","1",135.2064,2717.8235435,2922.39390622971,"Selcuklu-97;ANVERGUR"
"1",577,"BOLIDO-DP034","EL4X_194","mixed","S","1",131.9872,1756.5852275,1584.29546840442,"BOLIDO-DP034;EL4X_194"
"1",579,"L2574","EL4X_316","mixed","S","1",97.26008,3478.1627095,3251.33263781224,"L2574;EL4X_316"
"1",58,"FURIO_CAMILLO","ACADUR","mixed","C","1",139.79376,2617.844158,2394.76985172367,"FURIO_CAMILLO;ACADUR"
"1",580,"PLUSSUR","CHAM-1_DP136","mixed","S","1",278.662,3069.739012,3005.17032198644,"PLUSSUR;CHAM-1_DP136"
"1",581,"EL4X_316","ORJAUNE","mixed","S","2",82.8944,2665.974465,2595.86693645711,"EL4X_316;ORJAUNE"
"1",582,"NOBILIS","NOBILIS","pure","S","2",71.46624,2710.9844235,2575.90047201854,"NOBILIS;NOBILIS"
"1",583,"LGBORIS","LGBORIS","pure","S","2",70.98336,2421.7751365,2233.75369034208,"LGBORIS;LGBORIS"
"1",584,"BOLIDO-DP034","BOLIDO-DP034","pure","S","2",47.20152,2797.542036,2757.94646554581,"BOLIDO-DP034;BOLIDO-DP034"
"1",585,"MONASTIR","CHAM-1_DP136","mixed","S","2",86.43552,2760.7390215,2803.97822845443,"MONASTIR;CHAM-1_DP136"
"1",586,"FURIO_CAMILLO","ACADUR","mixed","S","2",63.01584,3800.84094,3618.22190314784,"FURIO_CAMILLO;ACADUR"
"1",587,"EL4X_194","EL4X_194","pure","S","2",196.93456,2999.8517545,3208.89659251115,"EL4X_194;EL4X_194"
"1",588,"EL4X_464","EL4X_464","pure","S","2",234.55896,3604.643685,3479.57300546107,"EL4X_464;EL4X_464"
"1",59,"ANTALIS","ANTALIS","pure","C","1",145.82976,2677.088035,2635.69206688972,"ANTALIS;ANTALIS"
"1",590,"LGBORIS","NEMESIS","mixed","S","3",40.52168,2494.8682315,2343.98216760957,"LGBORIS;NEMESIS"
"1",591,"BALSAMO","AVENTUR","mixed","S","3",134.2004,3653.115948,3583.24222144245,"BALSAMO;AVENTUR"
"1",592,"COLOSSEO_DP087","COLOSSEO_DP087","pure","S","3",73.15632,3217.207537,3086.78470705292,"COLOSSEO_DP087;COLOSSEO_DP087"
"1",593,"GIUSTO","ANTALIS","mixed","S","3",42.53368,3444.3945545,3382.70239985449,"GIUSTO;ANTALIS"
"1",594,"CASANOVA","CASANOVA","pure","S","3",53.39848,3087.5634685,2945.23438682511,"CASANOVA;CASANOVA"
"1",595,"EL4X_194","EL4X_194","pure","S","3",285.86496,3354.8875715,3247.8666437566,"EL4X_194;EL4X_194"
"1",596,"MIKI-1_DP161","MIKI-1_DP161","pure","S","3",83.45776,3010.324157,2956.84738535838,"MIKI-1_DP161;MIKI-1_DP161"
"1",599,"MONASTIR","EL4X_35","mixed","S","1",153.07296,3746.4271915,3639.81996099267,"MONASTIR;EL4X_35"
"1",60,"KOFA","KOFA","pure","C","1",56.45672,1663.5731955,1639.90119486155,"KOFA;KOFA"
"1",601,"FURIO_CAMILLO","PLUSSUR","mixed","S","1",74.48424,2380.184738,2304.52610981757,"FURIO_CAMILLO;PLUSSUR"
"1",602,"AZEGHAR-2_DP128","NEMESIS","mixed","S","1",59.59544,2250.3696915,2020.3018076096,"AZEGHAR-2_DP128;NEMESIS"
"1",603,"L2574","L2574","pure","S","1",47.84536,2280.1198635,2498.50118884259,"L2574;L2574"
"1",604,"LAHAN","EL4X_464","mixed","S","1",127.64128,2339.235507,2302.09607708483,"LAHAN;EL4X_464"
"1",605,"L2574","QUALIDOU","mixed","S","1",44.8676,2902.3942945,2834.25497463045,"L2574;QUALIDOU"
"1",606,"COLOSSEO_DP087","QUALIDOU","mixed","S","1",174.60136,2177.5330635,2320.78723111179,"COLOSSEO_DP087;QUALIDOU"
"1",607,"MONASTIR","BALSAMO","mixed","S","2",68.36776,2923.809289,2811.98089264192,"MONASTIR;BALSAMO"
"1",608,"ACADUR","ACADUR","pure","S","2",47.6844,3159.929907,2872.11049958495,"ACADUR;ACADUR"
"1",609,"Selcuklu-97","ANVERGUR","mixed","S","2",101.76696,4135.0601855,4132.14093845972,"Selcuklu-97;ANVERGUR"
"1",61,"LGBORIS","NEMESIS","mixed","C","2",48.85136,2073.4074615,2130.99619340854,"LGBORIS;NEMESIS"
"1",610,"NOBILIS","EL4X_316","mixed","S","2",126.87672,2345.4334595,2219.71431326064,"NOBILIS;EL4X_316"
"1",612,"LLOYD","ANVERGUR","mixed","S","2",70.6212,2834.644262,2900.68074157122,"LLOYD;ANVERGUR"
"1",614,"Selcuklu-97","EL4X_194","mixed","S","2",132.02744,4561.949507,4324.4734615248,"Selcuklu-97;EL4X_194"
"1",615,"EL4X_120","Selcuklu-97","mixed","S","3",102.2096,2795.7895115,2781.41181170106,"EL4X_120;Selcuklu-97"
"1",616,"ASTERIX","EL4X_35","mixed","S","3",107.8432,2693.75839,2684.37494069698,"ASTERIX;EL4X_35"
"1",617,"BALSAMO","BALSAMO","pure","S","3",106.75672,2768.6894985,2843.92942825437,"BALSAMO;BALSAMO"
"1",618,"LAHAN","EL4X_120","mixed","S","3",97.582,2722.653672,3001.82674311358,"LAHAN;EL4X_120"
"1",619,"EL4X_428","EL4X_428","pure","S","3",159.59184,2583.2638575,2728.12101116301,"EL4X_428;EL4X_428"
"1",62,"MONASTIR","BALSAMO","mixed","C","2",58.7504,2729.6210255,2708.14906544759,"MONASTIR;BALSAMO"
"1",620,"L2574","EL4X_316","mixed","S","3",75.69144,2498.928959,2381.58920801395,"L2574;EL4X_316"
"1",621,"LGBORIS","EL4X_35","mixed","S","3",40.8436,2149.278949,2319.31459473391,"LGBORIS;EL4X_35"
"1",622,"KOFA","KOFA","pure","S","3",85.42952,3157.365237,2856.51992115758,"KOFA;KOFA"
"1",63,"EL4X_35","EL4X_35","pure","C","2",39.27424,1967.2301235,1877.06508120712,"EL4X_35;EL4X_35"
"1",64,"L2574","L2574","pure","C","2",60.88312,2847.211145,2692.66993964932,"L2574;L2574"
