spectre,rhyzotube ,comment
Spectrum00636,354,NA
Spectrum00637,354,NA
Spectrum00638,354,NA
Spectrum00639,354,NA
Spectrum00640,354,NA
Spectrum00641,355,NA
Spectrum00642,355,NA
Spectrum00643,355,NA
Spectrum00644,355,NA
Spectrum00645,355,NA
Spectrum00646,355,NA
Spectrum00647,356,NA
Spectrum00648,356,NA
Spectrum00649,356,NA
Spectrum00650,356,NA
Spectrum00651,356,NA
Spectrum00652,356,NA
Spectrum00653,357,NA
Spectrum00654,357,NA
Spectrum00655,357,NA
Spectrum00656,357,NA
Spectrum00657,357,NA
Spectrum00658,357,NA
Spectrum00659,358,NA
Spectrum00660,358,NA
Spectrum00661,358,NA
Spectrum00662,358,NA
Spectrum00663,358,NA
Spectrum00664,358,NA
Spectrum00665,359,NA
Spectrum00666,359,NA
Spectrum00667,359,NA
Spectrum00668,359,NA
Spectrum00669,359,NA
Spectrum00670,359,NA
Spectrum00671,360,NA
Spectrum00672,360,NA
Spectrum00673,360,NA
Spectrum00674,360,NA
Spectrum00675,360,NA
Spectrum00676,360,NA
Spectrum00677,361,NA
Spectrum00678,361,NA
Spectrum00679,361,NA
Spectrum00680,361,NA
Spectrum00681,361,NA
Spectrum00682,361,NA
Spectrum00683,362,NA
Spectrum00684,362,NA
Spectrum00685,362,NA
Spectrum00686,362,NA
Spectrum00687,362,NA
Spectrum00688,362,NA
Spectrum00689,365,NA
Spectrum00690,365,NA
Spectrum00691,365,NA
Spectrum00692,365,NA
Spectrum00693,365,NA
Spectrum00694,365,NA
Spectrum00695,366,NA
Spectrum00696,366,NA
Spectrum00697,366,NA
Spectrum00698,366,NA
Spectrum00699,366,NA
Spectrum00700,366,NA
Spectrum00701,367,NA
Spectrum00702,367,NA
Spectrum00703,367,NA
Spectrum00704,367,NA
Spectrum00705,367,NA
Spectrum00706,367,NA
Spectrum00707,369,NA
Spectrum00708,369,NA
Spectrum00709,369,NA
Spectrum00710,369,NA
Spectrum00712,369,NA
Spectrum00713,369,NA
Spectrum00715,370,NA
Spectrum00716,370,NA
Spectrum00717,370,NA
Spectrum00718,370,NA
Spectrum00719,370,NA
Spectrum00720,370,NA
Spectrum00721,371,NA
Spectrum00722,371,NA
Spectrum00723,371,NA
Spectrum00724,371,NA
Spectrum00725,371,NA
Spectrum00726,371,NA
Spectrum00727,372,NA
Spectrum00728,372,NA
Spectrum00729,372,NA
Spectrum00730,372,NA
Spectrum00731,372,NA
Spectrum00732,372,NA
Spectrum00733,373,NA
Spectrum00734,373,NA
Spectrum00735,373,NA
Spectrum00736,373,NA
Spectrum00737,373,NA
Spectrum00738,373,NA
Spectrum00739,374,NA
Spectrum00740,374,NA
Spectrum00741,374,NA
Spectrum00742,374,NA
Spectrum00743,374,NA
Spectrum00744,374,NA
Spectrum00745,375,NA
Spectrum00746,375,NA
Spectrum00747,375,NA
Spectrum00748,375,NA
Spectrum00749,375,NA
Spectrum00750,375,NA
Spectrum00751,376,NA
Spectrum00752,376,NA
Spectrum00753,376,NA
Spectrum00754,376,NA
