"Num","Lot","Num_RT"
569,"Rec","RT 569"
570,"Rec","RT 570"
573,"Rec","RT 573"
574,"Rec","RT 574"
575,"Rec","RT 575"
576,"Clim","RT 576"
577,"Rec","RT 577"
578,"Clim","RT 578"
579,"Rec","RT 579"
580,"Rec","RT 580"
581,"Rec","RT 581"
582,"Rec","RT 582"
583,"Rec","RT 583"
584,"Rec","RT 584"
585,"Rec","RT 585"
586,"Rec","RT 586"
587,"Rec","RT 587"
588,"Rec","RT 588"
589,"Clim","RT 589"
590,"Rec","RT 590"
591,"Rec","RT 591"
592,"Rec","RT 592"
593,"Rec","RT 593"
594,"Rec","RT 594"
595,"Rec","RT 595"
596,"Rec","RT 596"
599,"Rec","RT 599"
600,"Clim","RT 600"
601,"Rec","RT 601"
602,"Rec","RT 602"
603,"Rec","RT 603"
604,"Rec","RT 604"
605,"Rec","RT 605"
606,"Rec","RT 606"
607,"Rec","RT 607"
608,"Rec","RT 608"
609,"Rec","RT 609"
610,"Rec","RT 610"
611,"Clim","RT 611"
612,"Rec","RT 612"
613,"Clim","RT 613"
614,"Rec","RT 614"
615,"Rec","RT 615"
616,"Rec","RT 616"
617,"Rec","RT 617"
618,"Rec","RT 618"
619,"Rec","RT 619"
620,"Rec","RT 620"
621,"Rec","RT 621"
622,"Rec","RT 622"
